"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_mmq_q4_1_4warp_lds_q8_1",1056,1313454477,1243801.588068,20.89,344640,2146559,545707.695494
"flambeau_attention_decode_f16_splitk_chunk",2016,709437662,351903.602183,11.28,308960,401920,16969.051848
"flambeau_mmvq_q4_1_t128_q8_1",28224,633805018,22456.243552,10.08,4640,93440,12202.438015
"flambeau_mmvq_q4_1_gate_up_dp4a_q8_1",8064,520378766,64531.096974,8.28,52320,176161,16223.145463
"flambeau_gdn_state_step_alphabeta_f32_s128",6192,494813623,79911.760820,7.87,8800,1707360,206570.197810
"flambeau_mmvq_q5_k_r2_q8_1",6048,356741789,58985.084160,5.67,48480,122880,8696.141896
"flambeau_p2p_allreduce_residual_tp2",8448,352148012,41684.187027,5.60,4480,1120640,171743.692182
"flambeau_mmq_q5_K_wave64_q8_1",144,226283213,1571411.201389,3.60,958081,1915998,358251.605067
"flambeau_rmsnorm_q8_1_fused",8193,198648652,24246.143293,3.16,19520,47360,2696.252159
"flambeau_quantize_row_f16_q8_1",18768,193027682,10284.936168,3.07,2400,352320,35141.680845
"flambeau_mmvq_q6_k_dp4a_q8_1",129,171133509,1326616.348837,2.72,1238241,1586241,62180.347985
"flambeau_p2p_allreduce_residual_rmsnorm_tp2",8064,162652973,20170.259549,2.59,17120,49920,2917.763011
"flambeau_mmq_q8_0_wave64_tile16_q8_1",288,161319201,560136.114583,2.57,394240,707680,88143.848054
"flambeau_cast_f32_f16",22704,119546087,5265.419618,1.90,1760,130400,13102.978347
"flambeau_attention_prefill_flash_tile_d256_br8_f16",48,110026085,2292210.104167,1.75,1039360,3058077,867977.732499
"__amd_rocclr_copyBuffer",19238,77040317,4004.590758,1.23,1920,52160,2668.202003
"flambeau_l2_norm_f32",12384,58920632,4757.802972,0.9370,2560,48480,4273.403315
"flambeau_swiglu_f32_to_f16",8256,55885445,6769.070373,0.8888,2720,177280,16943.748511
"flambeau_mmvq_q8_0_gate_up_t128_vdr2_q8_1",6048,52934873,8752.459160,0.8418,6720,30400,1647.881670
"flambeau_causal_conv1d_f32",6192,36733758,5932.454457,0.5842,2560,107840,10021.300661
"flambeau_rmsnorm_f16",4512,35118400,7783.333333,0.5585,3040,116800,12584.224820
"flambeau_rmsnorm_f32",6192,33480322,5407.028747,0.5324,3200,48640,5391.302577
"flambeau_silu_f32",6192,31236646,5044.677972,0.4968,1920,61440,5636.802129
"flambeau_quantize_f16_q8_1_mmq",624,30008326,48090.266026,0.4772,14560,93920,18789.599617
"flambeau_gdn_assemble_conv_input_f32",6048,27240645,4504.074901,0.4332,2240,22560,960.703716
"flambeau_swiglu_f32_to_q8_1",6048,27153118,4489.602844,0.4318,2720,23840,949.332278
"flambeau_scale_f32",6192,24622403,3976.486273,0.3916,1760,56800,2408.497566
"flambeau_rope_neox_partial_f16",4128,15387520,3727.596899,0.2447,2720,19520,1430.677102
"flambeau_sigmoid_mul_f16",2064,13471845,6527.056686,0.2142,3520,122080,14426.571220
"flambeau_quantize_row_q8_1",144,11817597,82066.645833,0.1879,44800,105280,23101.140263
"flambeau_split_q_gate_f16",2064,10952801,5306.589632,0.1742,1920,71840,7396.937709
"flambeau_attention_decode_f16_splitk_combine",2016,10570720,5243.412698,0.1681,4320,20960,466.588594
"flambeau_gdn_split_qkv_f32",144,5942880,41270.000000,0.0945,26240,77440,10018.307606
"flambeau_quantize_q8_1_mmq",144,3302720,22935.555556,0.0525,12960,29440,5783.365799
"flambeau_swiglu_f32",144,2740802,19033.347222,0.0436,12320,72960,6644.233731
